publish_date,headline_text
20111008,dogs confirm hasler coup
20110928,gaddafi fighters capture sirte port
20111221,three yorke peninsula payphones to stay
20110403,interview greg bird
20110628,thatchers handbag sells for 38000
20110319,whale strandings improve scientists knowledge
20110930,smoke hazard red centre fires
20110222,stinger puts teens in hospital
20110607,shipwreck video deterring asylum seekers customs
20110211,sydney artist wins top painting prize
20111028,inglis to miss four nations opener
20110620,probe into appalling kids kickboxing event
20110326,electoral commission steps in over labor dirty
20110323,porpoise rescued from field after japan tsunami
20111011,power cable burns men
20110810,springboks desperate too
20110514,sydney charity denies links to hamas
20110825,1m sought for fish stocks study
20110405,breen to race the men in gift
20110227,perth police call for witnesses to mystery stabbing
20110425,japans car production plummets after disasters
20110521,queensland prefers rudd over gillard poll
20111214,centre to gauge disaster efforts
20110929,melissa etheridge walk of fame star
20111206,teen accused of sex with child walks free
20110524,remote area food quality improving report
20110615,baby death accused unfit to face trial lawyer
20111021,at least six dead in papua violence
20111108,depleted squad tests kangaroo reserve
20110106,floods to weigh on reserves rates reasoning
20110321,point lowly plant development wrong for region
20110810,no a league for schwarzer
20110729,salvos open shellharbour jobs centre
20111216,tas fire service advises landholders on bushfire
20111017,carpenter named geraldton mayor
20110117,craig james and ross solly
20110523,gillard pounces on climate reports support
20111213,ludwig stays in agriculture portfolio
20110228,woman dies in tractor roll
20110928,police shooting witness describes chaos
20110710,interview john lang
20110226,london cooing over breast milk ice cream
20111213,clc calls for new cross border fire committee
20110124,suspected us kidnapper turns herself in
20110808,kates the australian stimulus and the damage it caused
20110821,12 dead in canada plane crash
20111210,dwyer takes hockeys top gong again
20110824,rosewarne snobbery and stuffiness adds little to a meal
20110823,make or break time for southern bluefin tuna
20110105,worksafe hunts dodgy funeral practitioners
20110907,teachers stoush over pay
20110216,contador cleared of doping charges
20110629,councillors prosecution sends strong message
20111203,museum identifies new rembrandt painting
20111114,aboriginal gospel singer on broadway
20110309,flood clean up uncovers asbestos
20111007,hendra not suspected in horse deaths
20110704,nenw pipe bands excel at highland games
20111208,interview with australian dental president
20110610,thompsons point dump site suggestion crazy
20110102,hussey hurting after ashes failure
20110928,phoenix rocked by two injuries
20110829,leipheimer captures inaugural usa challenge
20110728,malthouse balancing act
20111107,black caviar pulls out of perth
20111025,iran plot accused pleads not guilty
20111115,gunmen strike in sydney hold ups
20110623,rugby league looks south
20110112,ten south sudanese killed in ambush
20111017,crocodile tears shed at celebrity reptiles funeral
20110216,berlusconi to face trial over prostitution scandal
20110524,mavs comeback silences thunder
20110127,father searched at inquest into sons death
20111202,labor braces for gay marriage showdown
20110326,woman allegedly assaulted police officer
20110530,obama tours tornado hit town
20110518,djokovic run amazing mcenroe
20110819,police warn of convoy chaos
20111122,iron producers want magnetite mine tax exemption
20110510,authorities played catch up during floods
20110321,doctor used probe like sex toy judge told
20110802,reserve tipped to leave rates on hold
20110725,evans enjoys the final tour stage
20110327,swans escape with draw against demons
20110303,dhs criticised over treatment of disabled man
20111109,prawn industry gets tick of approval
20110114,truck driver injured in murray valley highway crash
20111117,contempt charges aim to shut me up messenger says
20111122,sexual assault on woman in sydney laneway
20110416,buddys six gets hawks home
20111214,jacko doctor seeks appeal lawyer
20110928,killer patient returns to hospital
20110907,motorcyclist missing outback birdsville races
20111201,asylum seekers thrown overboard in magic ritual
20110912,families farewell ferry disaster victims
20110719,tony abbott emissions comment
20111207,power players come to blows
20110809,rioting spreads to londons south
20111213,harris says one more injury and he will be done
20110620,murders linked to parole blunders
20110325,nuclear workers hospitalised in japan
20110920,catholic schools amalgamate
20110901,senate inquiry into live exports raises northern
20110714,abc entertainment news
20110701,chinas communist party celebrates 90 years
20110407,mellowed urban embarks on world tour
20110616,health authorities defend closing tb clinics
20110404,woman pleads guilty ahead of euthanasia retrial
20110122,interview rocky elsom
20110204,second flight takes aussies out of egypt
20110112,floodwaters to move further south
20110628,media call dean brogan
20110901,aussie rookies shine before lunch
20110126,newcastle makes top 20 destinations list
20110226,tamim cleared of injury
20110913,mcconnell ring around the roses
20110730,mooney shines in dees massacre
20110504,hard tackles blamed for injury rate
20110912,one killed in french nuclear site explosion
20110830,problems continue with hmas tobruk
20110117,child abuse ringleader tries to overturn
20111221,floods heading into nsw inland rivers
20111209,minerals council report points to coal jobs boom
20110502,woman jailed for it theft
20110525,unions to vote on industrial action against bhp
