,publish_date,headline_text
0,20030303,unhooked brakes to blame for taiwan train disaster
1,20030918,oldest prisoner in tas released citing health
2,20030913,nine reportedly dead in portuguese plane crash
3,20031031,nurses welcome medicare rebate plan
4,20030930,un cuts its iraq staff
5,20030601,tougher water restrictions loom after dry may
6,20030715,illegal fishing review to hold public meetings
7,20030723,minardi sign italian bruni as test driver
8,20030910,man breaks leg in cliff fall
9,20031125,bush signs off on troops pay rise
10,20030530,cwealth not responsible for regional airport
11,20031114,indonesia knew about melville boat tow howard
12,20031005,yuvraj into india squad for new zealand test
13,20030502,blair survives backlash at local regional polls
14,20030505,beijing closes access to reservoirs
15,20031014,business group rejects social responsibility survey
16,20030828,qld unswayed by act backdown on health deal
17,20031101,woman jailed for trying to kill daughter
18,20030430,south africa launch bid to host soccer world cup
19,20030513,catholic school to close doors
20,20030724,baiting aims to address wild dog problems
21,20030522,car crash sparks deeper police probe
22,20030916,maritime college to help boost port security
23,20031027,france adopting cops tactics says ibanez
24,20030615,indonesia says rebels killed in aceh
25,20030809,childhood sun exposure may reduce ms risk study
26,20031204,hospital acknowledges staff shortages
27,20030512,gold coast man monitored for sars
28,20030701,budget accom crisis as fire laws raise standards
29,20030826,counselling available to students who witnessed
30,20030324,lester concerned about keppel park race meetings
31,20030825,holt disappearance case re opened
32,20030228,us votes to ban human cloning
33,20030315,deportivo turn to domestic duties after european
34,20030819,council approves power station site rezoning
35,20030328,poland asks us for discretion about troops
36,20030519,toddler killed in traffic crash
37,20030227,saddam will destroy some missiles downer
38,20030327,international gaze on broken hill
39,20030302,sydney man swims for a good cause
40,20031010,no guarantees of terrorism free bali ceremony
41,20030617,tas minister discusses pulp mill with timber boss
42,20030915,vic oppn supports regional move campaign
43,20030722,south africa accept draw against india a
44,20030730,cuddihy sets sights on olympics
45,20030222,shop owner on trial accused over bali bomb
46,20031020,centrecare service set to start
47,20030306,aus baseball legend nilsson bows out
48,20030503,tga says folic acid pills on the market are safe
49,20030619,court jails three men after hobart assault
50,20031122,nude springbok training snap shocks south africa
51,20030508,warning issued after young girl attacked
52,20031031,us house of reps approves bn for iraq
53,20030522,receivers appointed for vic nursing homes
54,20031108,us mail centres to reopen after anthrax scare
55,20030908,israel fires three missiles in gaza raid
56,20031118,vic police criticised over missing persons
57,20031020,greens highlight indigenous opposition to mine plan
58,20030520,teen gets community order for assault theft
59,20031126,washington to trim loan guarantees for israel
60,20031209,lets get fair dinkum waugh
61,20030718,vietnam president overrules sydney womans death
62,20030416,judges should be exempt from security checks nt
63,20030920,bond an australian hero americas cup skipper
64,20030515,grande residents face move
65,20031116,india call up rookie pacemen for australia tour
66,20031130,hockeyroos down dutch rivals
67,20030916,roos buckley take coaches honours
68,20030627,cameroon to play cup final despite foes death
69,20031205,hockeyroos hopes on the line
70,20030612,mckenzie named waratahs coach
71,20030320,dust storm to take toll on farmers
72,20030527,brazilian coaches resign at paysandu goias and
73,20030307,muscat set to miss old firm clash
74,20030620,outrage over plan to fight child detention ruling
75,20031217,dpp seeks baby manslaughter sentence report
76,20030718,commendation for officer stabbed during arrest
77,20030928,obasanjo says exiled liberian leader may face trial
78,20031024,blair govt to allow asylum families to stay
79,20031211,breakthrough made in murder case
80,20031003,nt company wins m rail tender
81,20031009,f s iceman clings to championship dream
82,20030602,jonah lomu rugby icon
83,20030530,charity ride to raise cancer funds
84,20031223,pope says world peace is possible
85,20030707,five dead as china blows dikes to fight floods
86,20031215,sa magistrate remanded for trial
87,20030626,telstra sale depends on market howard
88,20030430,reds demote kefu to bench
89,20030418,fisichella handed brazil gp trophy at last
90,20031211,hungry haydens run making obsession
91,20031010,exposure to hep a gives protection against asthma
92,20030907,tearful bangladesh rue test near miss
93,20031121,italys leading trio in fear of travel sickness
94,20030529,iranians urged to stand firm over us pressure
95,20031227,us troops kill four iraqis after patrol attacked
96,20031208,immigration officials question malaysian trio
97,20031029,business dispute may be behind png piracy officials
98,20030406,wa residents prepare for cyclone
99,20030523,montgomery expects to return in time for us trials
100,20030630,campbell set to be cleared by parliamentary panel
101,20030508,teen charged over bomb hoaxes
102,20030419,jurassic park creator agrees to pay ex wife us m
103,20031027,investigations continue into south coast accidents
104,20030312,darwin theatre co lobbies for permanent base
105,20030930,police uncover record vic ecstasy haul
106,20030830,pakistan fight back after kapali hat trick
107,20030514,small budget allocation for roadworks
108,20031219,becker dodges internet fallout
109,20030429,doctors group happy overall with medicare reforms
110,20030820,two jailed over bar managers murder
111,20031221,ferdinand may quit england ferguson
112,20030324,us aiming for figure skating clean sweep
113,20030404,residents urged to have say in council election
114,20031006,villeneuve faces f farewell
115,20030309,wa crime drop aided by dna technology police
116,20030404,mp calls for report on menangle bridge closure
117,20031024,federer upset by big serving ljubicic
118,20030922,pm urged to resolve stranded sheep crisis
119,20030611,voters see clear policy direction crean
120,20030502,wfp docks major rice shipment in iraq
121,20030919,ferrero crushes gaudio to give spain the lead
122,20030809,oceania soccer boss considers quitting
123,20030817,french ligue round up
124,20030428,new political party born out of frustration
125,20030401,president of chiles central bank resigns amid
126,20031223,new nt home care arrangements for renal patients
127,20030913,children evacuated during sunshine coast bushfires
128,20030430,chelsea not sharing stamford bridge with fulham
129,20030319,dons warn paterson but offer support
130,20031023,india to hold talks with kashmiri separatist
131,20030612,powell unaware of blix smear campaign
132,20030901,court told bikies planted bomb in cib chiefs car
133,20030704,pokie revenue to aid needy
134,20030906,clijsters reaches us open final
135,20031114,year in italy worst of my career says rivaldo
136,20030813,nrl players deserve more says fittler
137,20031223,loose screw halts spanish nuclear power station
138,20031205,hindu nationalists dominate indian elections
139,20030620,travel advice warns of beijing sars threat
140,20030508,leading lady sorenstam competes in pga
141,20030521,magistrates testify at fingleton trial
142,20030803,ronaldinho claims united broke his heart
143,20031014,knife attack causes concerns for tas hospitals
144,20030224,blokes peel off pants for peace
145,20030530,new ki ferry service moves closer to reality
146,20030408,youth charged over armed robbery
147,20030413,us forces enter tikrit
148,20030618,fears takeover would cost grape growing romance
149,20031208,gloomy times for central west businesses
150,20030426,man in custody after domestic seige
151,20031227,woodford gears up for folk festival
152,20030302,govt opp critical of gulf war black ban plan
153,20030421,trezeguet ruled out of juves barcelona tie
154,20030423,sars threat closes beijing schools
155,20030812,gamito claims sixth stage
156,20031116,glory seize nsl top spot
157,20031114,dairy farmers meet with supermarket chief
158,20031216,police to consider staff shortage woes
