publish_date,headline_text
20040920,chinchilla to get power station workers camp
20040914,fitness doubts haunting reynoldson anasta
20041031,human rights lawyer mrs blair criticises us law
20041119,nff aims to improve farm safety
20040220,tac stands by drink driving ads
20041111,marathon runner wont meet his athens assailant
20040317,yorke tangles with souness on training pitch
20040327,pisasale claims ipswich mayorship
20040225,carpenter makes south west schools pledge
20040423,tasmanian nurses reject wage offer
20041120,veteran composer coleman dies at 75
20040323,body washes up on beach
20040410,police seek two missing people
20040914,states conservationists question water plan
20040128,milk processor rejects single desk pressure claims
20040902,un demands release of hostages in russia
20040516,mitsubishi meeting not about demands treasurer
20040528,junior warriors jailed for trying to kill unborn
20041125,montoya fastest webber fifth in f1 testing
20040118,thousands protest in london against islam
20041019,starcraft pulls clear in cox plate betting
20040623,latham challenges howard to debates
20041104,doomadgee gets permanent doctor
20040515,us military hit by fresh prisoner abuse allegations
20041022,kirby attacks ir systems detractors
20041013,delay to far north qld footy brawl report
20040608,boy saved as gp gets surgery tips via phone
20040416,farmers to be checked before fertiliser sale
20040712,itsy bitsy spider catches a snake
20041102,beijing plans tough doping regime
20040123,latham seeks ban on tobacco donations
20040707,british gp under new threat
20040126,toyota overtakes fords car sales
20040607,crocker in doubt for origin ii
20040803,experts converge on bendigo for salinity talks
20041029,titan rich in life giving carbons nasa says
20041222,ergon call centre to maintain speedy response
20040505,hospitals settle after bungled chemo treatment
20040515,johnson gets back on track
20040319,australian stocks finish week up slightly
20040521,wall st stock prices back to starting point
20040221,changing migration zone will curb illegal
20040711,tas reports excellent snow for ski season
20040817,phiggles to fly in science lessons
20040429,dpp wants further inquiries into models death
20040713,film accuses fox news of pro bush bias
20040312,red cross defends hanson blood donation refusal
20040527,troubled land council appointed an administrator
20041002,blasts hit india 17 killed
20040610,war has not increased australias terrorism risk
20040308,beattie resists calls to stand down minister
20041123,us soldier wounded militant killed in afghan clash
20040507,hill warns of water cuts
20040314,counter terrorism body to review transport security
20040122,springborg on attack over australia day controversy
20040625,call for probe into prison sex abuse claims
20041005,bashing victim says assault unprovoked
20040803,fishers await news on management plan
20040408,howard welcomes jobless figures
20041108,court approves 32m esso compensation
20040719,police inspect car involved in nz ski field crash
20040120,army base chief happy with training course
20040722,mixed response to roads levy
20040416,us welcomes european rejection of bin laden truce
20040804,gaza violence proves need for reform us
20041110,beastie boys win sampling court case
20040507,health check scheme targets indigenous youth
20040501,oppn makes defence supply pledge
20040625,funeral held for horror smash
20040708,award winning scientist says barrier reef well
20040119,japan urged to drop beef tariff
20040715,dive company pleads guilty to safety breaches
20040528,us police shocked at childrens brutal killings
20040521,two injured in penola crash
20040321,skiiing accident leaves 10yo in hospital
20041103,govt not committed to bega hospital replacement
20041102,labor council pushes for legal centre funding
20041230,heritage body put into administration
20041004,study highlights students boarding anxiety
20040709,brazil edge chile with last minute strike
20040806,jones lauds flash fly halves
20040430,fire destroys storage
20040323,gm fight still on in wa
20040223,performing arts industry shows off its wares
20040907,darwin experiencing downturn in commercial property
20040528,builders group predicts slower market
20040511,wa govt accused of stalling financial disclosure
20040325,court hears evidence in hotel theft trial
20040213,blackstone woman not guilty of manslaughter
20040721,philippine weakness wont stop terrorists howard
20040702,nightclub pledges to clean up act
20041014,govt rejects two saltwater storage basin sites
20040608,govt provides aid to palestinian refugee camp
20040413,vaccine funding refusal will put lives at risk ama
20041006,candidate apologises for endorsement gaffe
20041125,doctor speaks out against obstetrics service cuts
20040524,mullewa youth precinct opens
20041004,safety breaches exposed on tas farms
20040621,kerr wins lpga classic
20040720,dates set for australias india tour
20041204,ama survey highlights doctor shortage fears
20041018,us lifts foie gras import ban
20040630,council predicts single figure rate rise
20041130,mayor backs one year mayoral terms
20040226,microsofts tokyo offices raided
20041129,woodbridge chooses bhupathi as new partner
20041208,ion workers seek assurances on christmas pay
20040705,afghan families settle into launceston life
20041222,iraqis in australia can vote in january elections
20040722,qld endorses new reef zones
20040213,peters to lead matildas
20041006,act senate candidates go head to head in debate
20040302,police investigate loganlea smash
20040307,national trust takes tourists down streets of shame
20041015,sehwag out as aussies strike back
20040801,saints expect physical clash
20040514,borders warning to murali on doosra
20040331,new coal jobs in the offing
20040601,us probes iraqi assaults thefts
20040211,us reporter goes missing near chechnya
20040204,softwood processing mill to boost jobs
20040722,kluivert seals three year newcastle deal
20040229,earthquake rattles south west nsw
20041119,tas residents report earth tremor
20040127,mechanical failure may be behind derailment
20041220,moth takes wing against threatening weed
20040422,zimbabwe trounced by nine wickets
20040217,trial to consider lucerne irrigation change
20040415,volkers wont face charges
20040106,us to destroy 450 calves in mad cow probe
20040123,federal police examining hansons jailing
20040730,support for new whiting limits
20041204,china resumes landslide rescue efforts
20040107,councillor calls for shop reopening
20040203,us scientists claim sars breakthrough
20041129,govt extends darwin waterfront development
20040108,report says rivkin sick
20041201,young people warned of mobile phone debt risk
20040528,stevens return boosts crows
20040418,warne five fer puts durham in a spin
20040914,push on for oberon fluoride
20040824,court locked down for hicks hearing
20041130,council continues with planning certifier
20041208,porto stay alive with late goal arsenal stroll
20040924,iraq mortar explosions wound two
20040715,customers warned of atm scam
