,publish_date,headline_text
0,20030818, dead missing as brazil boat capsizes
1,20030404,missing list threatens gers title drive
2,20031230,wangaratta reveals fire management plan
3,20031210,agforce fighting drought battle
4,20031014,australian police to patrol papua new guinea
5,20030405,no plans to cancel arafura games over sars threat
6,20030510,nsw airport bus service to close
7,20030228,telekom star savoldelli out for two months
8,20030421,teen dies in motorcycle crash
9,20030519,more cars stolen in tasmania than other states
10,20031016,csu staff join nationwide strike
11,20030509,chamber aims to boost dalby training
12,20030314,company cops fine for diesel spill
13,20030425,costello praises tenacity of anzacs at gallipoli
14,20030825,storms highlight problems
15,20030507,savage says budget responsible
16,20030421,three missing in brazil ferry disaster
17,20030622,brazil in the hunt as usa head home
18,20031016,isa golfers get their fill of bull
19,20030914,accc head says rulings prove knockers wrong
20,20030607,snow blankets vic ski resorts
21,20031204,dodt hoping to make masters cut
22,20031031,greens fear free trade ambush
23,20030722,senate group told to raise medicare levy
24,20031208,government sets sail with b submarine deal
25,20030522,celtics give coach obrien contract extension
26,20031113,se ri pak aiming for three peat
27,20031014,mallee fowl figures plummet in wake of drought
28,20030920,powell praises indonesia at security meeting
29,20031221,police get hundreds of calls in missing qld boy
30,20030409,brazin shares fall after profit warning
31,20030524,woman suffers epileptic seizure during inmigration
32,20030722,eight injured as two bombs explode in spanish
33,20030810,bettini claims world cup lead with san sebastian
34,20030525,new g g to be appointed within weeks
35,20031119,iraq security in the balance
36,20030402,mystery virus worries flight staff
37,20030618,tour operator rejects croc claims
38,20030514,high tech sa farm business makes top list
39,20030804,lay off bowyer robson tells fans
40,20031108,bosnia offers to send troops to iraq host us bases
41,20030323,siege follows double stabbing
42,20030810,woman flown to hospital after car accident
43,20030312,serb pm injured in belgrade shooting source
44,20030616,chopper difficulties hamper body retrieval
45,20030911,gan gan site owner named
46,20031028,thousands homeless as flooding sweeps through china
47,20030728,approval sought for new cape york body
48,20031006,top dogs put to work at scottsdale
49,20030310,bushmaster vehicle passes first test
50,20030721,murray reflects on cowboys loss
51,20031031,water demand rises as council supplements supply
52,20030722,israeli army raids rafah homes palestinians
53,20031010,study shows aboriginal identity under pressure
54,20031003,state rail denies agreeing to pay millennium stage
55,20030904,forest agreement proves positive
56,20030307,expo to focus on small businesses
57,20030904,scientists map basin springs
58,20030312,iranian asylum seekers frightened after detention
59,20030712,sptnrl
60,20030513,martinez upsets dokic in rome masters
61,20030617,compromise reached over water levy
62,20030725,israel restricts access to holy site
63,20030524,kimmorley leads sharks home last gasp penalty
64,20031120,carmichael omalley share nsw open lead
65,20030417,lions take out grand final rematch
66,20031020,blues miss rooney in dour draw
67,20031215,two dead in military accident near iran nuclear
68,20030325,burns victims want to use appeal money to pay
69,20031205,catholic church remains silent on abuse case
70,20030808,police seek info over shooting death
71,20031206,india to ban baby food ads to promote
72,20030910,new approach to drug abuse needed pearson
73,20030820,call for store charter to be made law
74,20030323,marines call air strikes at umm qasr nasiriya
75,20031104,lara grapples with selection dilemma
76,20030714,murphy pyman ohern among open qualifiers at loch
77,20030826,rwanda opposition rejects kagame landslide
78,20031029,broome employs strategy for wandering youth
79,20030419,man city sink sleepy spurs
80,20030606,police still probing road crash cause
81,20030928,britain appoints first black police chief
82,20031202,sharks bank on raper
83,20030403,crean turns to health tonic for poll malaise
84,20030801,redneck image a thing of the past qld nats leader
85,20030524,volunteers help to fence in fire ravaged farms in
86,20030616,man on burglary assault charge gets held sentence
87,20030918,conference told year olds caring for family
88,20030331,nats leadership challenge heats up
89,20031215,bumbling fijians unfit for world cup report
90,20030825,senator pushes for nt sniffer dogs
91,20030316,aussies slightly troubled by kenya
92,20031030,singh looks to build money lead in florida
93,20030515,westralia sailor told to lie inquiry hears
94,20030930,heras drops down rankings despite vuelta win
95,20030828,henson shines as wales outclass romania
96,20030524,french minister to meet with arafat despite us
97,20031103,williams rocks kiwis in india
98,20030526,mp opposes plan to wipe out donut councils
99,20030524,sa gives film industry high priority
100,20030912,us plans for mercy mission to sick antarctic worker
101,20031122,australia cleans up perth cycle gp
102,20031211,chief justice recognises palm is justice group
103,20030815,aussie market ends week steady
104,20031208,push for local firms to get big building contracts
105,20030307,rigging firm fined over workers death
106,20030709,coroner clears telstra over boys death
107,20030628,olympic committee wins appeal over prize money tax
108,20030830,panthers savage eagles shark strike sinks rabbitohs
109,20030602,academic adds weight to rehabilitation push
110,20031214,arab prisoners seriously injured in us custody red
111,20031020,vaughan wary of whatmores bangladesh revolution
112,20030411,waratahs downed in wellington
113,20030807,union considers legal action to stop tyre plant
114,20030621,kosciuszko brumby cull ineffective wilderness group
115,20030626,media bill debate to continue despite amendment
116,20031020,merredin man facing sex charges
117,20030330,rumsfeld accused of micromanaging war
118,20030827,aged care wrangle continues
119,20030906,storm bulldogs hold half time leads
120,20030422,resort owner airs fears over planned pastoral
121,20030718,man sentenced to life for heroin murder
122,20030325,itc hopes deal to help expand operations
123,20031007,local govt group voices telstra sale fears
124,20031213,peru president asks cabinet to resign
125,20030918,us extends pacific naval build up
126,20030724,jackson shines in storm win over ny liberty
127,20030813,mp attacks reef rezoning plans
128,20030223,england deserves cup favouritism oneill
129,20030707,new public housing for broome
130,20030903,smaller timber volumes chip into sotico
131,20030921,bushs approval rating on iraq drops poll
132,20030509,budget funding for goldfields water supplies
133,20031126,police operation puts brakes on truck drivers
134,20030226,father and daughter found
135,20030822,barrichello raikkonen play it cool over german
136,20030402,atsic leader attacks ruddock after afp raid
137,20030901,four formally charged over bombay car bombs
138,20030712,police investigate alleged stabbing in sydney
139,20030423,police promise crackdown on unruly youth
140,20030830,wa govt spending on flowers exorbitant opposition
141,20030804,missing man found safe and well
142,20030317,blood clot test could speed treatment
143,20030721,anderson hoping for progress on qld tree clearing
144,20031123,redbacks bowl out blues
145,20030425,uni hopes for more federal funds
146,20030303,carr happy to accept greens preferences
147,20031105,students put lid on drink spiking
148,20030901,extreme caution urged in jakarta as bashir verdict
149,20030305,chappell leaves coaching door open
150,20030530,qantas tight lipped over sydney terminal security
151,20031120,mp crosses floor over power deregulation
152,20030426,plumbers wanted in antarctica
153,20031119,new industry in the wind for snowies
154,20030715,govt refuses to intervene in police industrial
155,20031203,mosaic oil boosts gas output
156,20031128,fire fighting aircraft pass tests
157,20030717,uncertainty dictated approach to tent embassy raid
158,20031229, miners pulled out alive after hours trapped
159,20031010,catholic churches steps up fight against condoms
160,20030921,wind damage shuts healesville sanctuary
161,20030402,goldfields tops wa in number of syringe users
162,20030930,furyk leads latest matchplay withdrawals
163,20031110,hospital to resume elective surgery after virus
164,20030610,stoianov pips mcgee to dauphine libere stage win
165,20031104,its the race that stops a stop work meeting
166,20030729,opera set for more intimate viewing
167,20031029,giffin returns to full strength wallabies side
168,20030404,mayor urges nsw govt to increase minimum sentences
169,20031121,atsic urges youths to attend forum
170,20031026,clean up begins after storms hit south east qld
171,20030902,escapees still on the run
172,20030420,investigations resume into boating accident
173,20030912,lions keep triple dream alive
174,20031215,council cars to use ethanol blended fuel
175,20030330,east anglian clubs eye premier league play offs
176,20030910,howard pressures states on new terror legislation
177,20031023,bosnia bids farewell to izetbegovic
178,20030506,last rings premiere in doubt
179,20030911,japanese economic rally to boost aussie exports
180,20031217,virgin to launch wellington sydney service
181,20030317,silver spike champs set another record
182,20031128,hecs architect hails govts plan to raise debt
183,20030310,dj banned after sri lanka vermin outburst
184,20031211,council maintains political ad ban
185,20030417,normal life picking up in baghdad
186,20030513,sarwan relishes test best
187,20030614,terrorist attacks planned for apec summit thai pm
188,20030819,police seize drugs in jindabyne
189,20030605,yachties prepare for mooloolaba event
190,20030828,county chief blasts out of order vaughan
191,20030422,argentine protesters torch cars after eviction
192,20030408,lives being wasted inside baxter bartlett
193,20030802,laws enforced to control technology use
194,20030808,port change line up ahead of carlton clash
195,20030404,leeds must go back to basics reid
196,20031222,quake shakes northern japanese island
197,20030818,actu proposals wont create jobs acci
198,20030804,ad survey paints bright employment picture
199,20031110,questions raised over transaction centres funds
200,20030322,us captures key iraqi offshore oil terminals
201,20031207,tour star rogers named cyclist of the year
202,20031104,suicide bomber injures israeli soldier
203,20030926,chinese airline sets course for melbourne
204,20030912,spa joins china bahrain on f calendar
205,20030311,hamackova out of worlds
206,20030925,bracks and beattie at odds over grand final
207,20030505,safety probe launched into boat mishap
